ID;Name;Overall rating;Potential;Growth;Age;Age group;Team;Position rank;Position;IMC;Foot;Value;Wage;Goalkeeping;Total stats;Body type;Acceleration type;Classement 23/24;Classement 22/23;Classement 21/22;Classement moyen;Palmares 
192985;K. De Bruyne;90;90;0;33;Senior;Manchester City;Midfielder;CM;22,9;Right;73500000;300000;11;78;Unique;Controlled;1;1;1;1;10
233731;A. Isak;85;87;2;24;Major;Newcastle United;Attacker;ST;20,9;Right;71000000;155000;8;69;Lean (185+);Controlled;7;4;11;7;4
232580;Gabriel;86;87;1;26;Major;Arsenal;Defender;CB;24,1;Left;70000000;180000;10;65;Lean (185+);Controlled Lengthy;2;2;5;3;13
200104;H. Son;87;87;0;31;Senior;Tottenham Hotspur;Attacker;ST;23,3;Right;67500000;200000;11;73;Unique;Controlled Lengthy;5;8;4;6;2
203376;V. van Dijk;89;89;0;32;Senior;Liverpool;Defender;CB;24,7;Right;67000000;200000;12;74;Unique;Controlled Lengthy;3;5;2;3;19
241096;S. Tonali;85;87;2;24;Major;Newcastle United;Midfielder;CDM;24,1;Right;63000000;135000;9;79;Unique;Controlled;7;4;11;7;4
224458;Diogo Jota;85;85;0;27;Major;Liverpool;Attacker;ST;22,1;Right;58500000;155000;11;74;Normal (170-185);Controlled Explosive;3;5;2;3;19
220697;J. Maddison;85;85;0;27;Major;Tottenham Hotspur;Midfielder;CAM;23,8;Right;57500000;155000;13;73;Lean (170-185);Controlled Explosive;5;8;4;6;2
247851;Bruno Guimarães;85;86;1;26;Major;Newcastle United;Midfielder;CM;22,3;Right;56500000;155000;11;78;Lean (170-185);Controlled;7;4;11;7;4
256079;M. Caicedo;84;88;4;22;Junior;Chelsea;Midfielder;CDM;23;Right;56000000;135000;11;74;Normal (170-185);Controlled;6;12;3;7;6
221697;O. Watkins;85;85;0;28;Major;Aston Villa;Attacker;ST;21,6;Right;55000000;185000;12;72;Normal (170-185);Controlled;4;7;14;8;7
212831;Alisson;89;89;0;31;Senior;Liverpool;Goalkeeper;GK;24,4;Right;54500000;130000;87;49;Unique;Controlled Lengthy;3;5;2;3;19
251517;J. Gvardiol;84;87;3;22;Junior;Manchester City;Defender;CB;23,4;Left;54500000;140000;8;76;Normal (185+);Controlled Lengthy;1;1;1;1;10
225193;Mikel Merino;85;85;0;28;Major;Arsenal;Midfielder;CM;23,2;Left;54000000;185000;11;79;Normal (185+);Controlled Lengthy;2;2;5;3;13
210257;Ederson;87;87;0;30;Major;Manchester City;Goalkeeper;GK;24,3;Left;53000000;145000;86;55;Unique;Controlled Lengthy;1;1;1;1;10
235243;M. de Ligt;84;87;3;24;Major;Manchester United;Defender;CB;24,9;Right;51500000;115000;11;69;Unique;Controlled Lengthy;8;3;6;6;20
247394;D. Kulusevski;83;86;3;24;Major;Tottenham Hotspur;Midfielder;CAM;23,1;Left;49500000;110000;9;73;Lean (185+);Controlled Lengthy;5;8;4;6;2
242516;C. Gakpo;83;86;3;25;Major;Liverpool;Attacker;ST;21,3;Right;48000000;115000;9;71;Lean (185+);Controlled;3;5;2;3;19
270409;Savinho;82;88;6;20;Junior;Manchester City;Attacker;LM;22,9;Left;47500000;115000;10;64;Lean (170-185);Mostly Explosive;1;1;1;1;10
237678;I. Konaté;84;86;2;25;Major;Liverpool;Defender;CB;25,2;Right;47000000;120000;10;63;Normal (185+);Controlled Lengthy;3;5;2;3;19
264453;M. van de Ven;83;87;4;23;Major;Tottenham Hotspur;Defender;CB;23,1;Left;47000000;105000;10;68;Normal (185+);Controlled Lengthy;5;8;4;6;2
235805;F. Chiesa;84;84;0;26;Major;Liverpool;Attacker;RM;22,9;Right;46000000;130000;7;73;Unique;Explosive;3;5;2;3;19
232411;C. Nkunku;84;84;0;26;Major;Chelsea;Midfielder;CAM;21,7;Right;46000000;165000;9;74;Normal (170-185);Mostly Explosive;6;12;3;7;6
232488;C. Romero;84;86;2;26;Major;Tottenham Hotspur;Defender;CB;23,1;Right;46000000;135000;9;67;Normal (185+);Controlled Lengthy;5;8;4;6;2
243576;Pedro Porro;83;86;3;24;Major;Tottenham Hotspur;Defender;RWB;23,1;Right;46000000;105000;10;77;Normal (170-185);Controlled Explosive;5;8;4;6;2
235790;K. Havertz;83;85;2;25;Major;Arsenal;Midfielder;CAM;22;Left;46000000;155000;9;71;Unique;Controlled;2;2;5;3;13
231936;B. White;84;85;1;26;Major;Arsenal;Defender;RB;22,5;Right;45500000;155000;8;68;Lean (185+);Controlled Lengthy;2;2;5;3;13
241084;L. Díaz;84;84;0;27;Major;Liverpool;Attacker;LM;22,5;Right;45000000;130000;13;72;Unique;Mostly Explosive;3;5;2;3;19
203574;J. Stones;85;85;0;30;Major;Manchester City;Defender;CB;21,5;Right;44000000;185000;10;72;Normal (185+);Controlled Lengthy;1;1;1;1;10
239301;L. Martínez;84;85;1;26;Major;Manchester United;Defender;CB;24,3;Left;43500000;135000;11;76;Normal (170-185);Controlled;8;3;6;6;20
245155;M. Kudus;82;86;4;23;Major;West Ham United;Attacker;LM;22,3;Left;43500000;95000;8;72;Normal (170-185);Controlled Explosive;9;14;7;10;0
247090;E. Fernández;82;86;4;23;Major;Chelsea;Midfielder;CM;24,6;Right;43500000;115000;8;75;Normal (170-185);Controlled;6;12;3;7;6
233049;J. Sancho;82;86;4;24;Major;Chelsea;Midfielder;CAM;23,5;Right;43500000;100000;10;65;Unique;Mostly Explosive;6;12;3;7;6
242964;A. Gordon;82;86;4;23;Major;Newcastle United;Attacker;RM;21,5;Right;43500000;120000;8;71;Lean (170-185);Controlled;7;4;11;7;4
202811;E. Martínez;87;87;0;31;Senior;Aston Villa;Goalkeeper;GK;23,1;Right;42000000;125000;85;52;Stocky (185+);Controlled Lengthy;4;7;14;8;7
240091;G. Vicario;84;87;3;27;Major;Tottenham Hotspur;Goalkeeper;GK;20,2;Right;41500000;86000;83;45;Lean (185+);Controlled;5;8;4;6;2
251566;Gabriel Martinelli;82;85;3;23;Major;Arsenal;Attacker;LW;23,7;Right;41500000;125000;7;70;Lean (170-185);Mostly Explosive;2;2;5;3;13
259583;D. Udogie;82;86;4;21;Junior;Tottenham Hotspur;Defender;LB;21,1;Left;41500000;82000;11;74;Normal (185+);Controlled;5;8;4;6;2
253072;D. Núñez;82;85;3;25;Major;Liverpool;Attacker;ST;23,2;Right;41000000;115000;12;72;Lean (185+);Controlled Lengthy;3;5;2;3;19
229237;M. Akanji;84;85;1;28;Major;Manchester City;Defender;CB;26;Right;40000000;170000;9;70;Unique;Controlled Lengthy;1;1;1;1;10
239231;Marc Cucurella;83;84;1;25;Major;Chelsea;Defender;LB;22,4;Left;39500000;135000;10;76;Normal (170-185);Controlled Explosive;6;12;3;7;6
208920;N. Aké;84;85;1;29;Major;Manchester City;Defender;CB;23,1;Left;39000000;170000;10;72;Normal (170-185);Controlled Explosive;1;1;1;1;10
236772;D. Szoboszlai;81;86;5;23;Major;Liverpool;Midfielder;CAM;21,4;Right;39000000;89000;10;75;Normal (185+);Controlled Lengthy;3;5;2;3;19
268438;Alejandro Garnacho;79;87;8;20;Junior;Manchester United;Attacker;RM;22,2;Right;38500000;71000;11;65;Lean (170-185);Mostly Explosive;8;3;6;6;20
259197;N. Jackson;81;85;4;23;Major;Chelsea;Attacker;ST;22,3;Right;37500000;120000;9;67;Lean (185+);Controlled;6;12;3;7;6
251809;S. Botman;82;85;3;24;Major;Newcastle United;Defender;CB;21,7;Left;37000000;105000;10;63;Normal (185+);Controlled Lengthy;7;4;11;7;4
242444;João Félix;81;85;4;24;Major;Chelsea;Midfielder;CAM;21,4;Right;37000000;110000;13;71;Unique;Mostly Explosive;6;12;3;7;6
216267;A. Robertson;84;84;0;30;Major;Liverpool;Defender;LB;20,2;Left;36500000;130000;10;75;Unique;Controlled Explosive;3;5;2;3;19
206517;J. Grealish;83;83;0;28;Major;Manchester City;Attacker;LW;25;Right;36500000;175000;10;72;Unique;Controlled Explosive;1;1;1;1;10
238074;R. James;82;84;2;24;Major;Chelsea;Defender;CB;28,4;Right;36500000;110000;10;79;Stocky (170-185);Controlled Explosive;6;12;3;7;6
235152;F. Kadıoğlu;81;86;5;24;Major;Brighton & Hove Albion;Attacker;RM;24,1;Right;36500000;83000;10;75;Normal (170-185);Explosive;11;6;9;9;0
246104;R. Gravenberch;81;86;5;22;Junior;Liverpool;Midfielder;CAM;21,3;Right;36500000;83000;10;76;Lean (185+);Controlled Lengthy;3;5;2;3;19
220901;David Raya;84;86;2;28;Major;Arsenal;Goalkeeper;GK;22,4;Right;36000000;105000;84;48;Normal (170-185);Controlled;2;2;5;3;13
207421;L. Trossard;83;83;0;29;Major;Arsenal;Attacker;LW;22,9;Right;35500000;165000;9;67;Normal (170-185);Explosive;2;2;5;3;13
236987;B. Kamara;82;84;2;24;Major;Aston Villa;Midfielder;CDM;20,1;Right;35500000;105000;9;70;Lean (170-185);Controlled Lengthy;4;7;14;8;7
253306;M. Ugarte;81;86;5;23;Major;Manchester United;Midfielder;CDM;23,2;Right;35500000;90000;11;72;Normal (170-185);Controlled Explosive;8;3;6;6;20
216393;Y. Tielemans;82;83;1;27;Major;Aston Villa;Midfielder;CM;23,2;Right;35000000;125000;10;73;Normal (170-185);Controlled;4;7;14;8;7
234574;Diogo Dalot;82;84;2;25;Major;Manchester United;Defender;RWB;22,7;Right;35000000;105000;8;75;Normal (170-185);Controlled;8;3;6;6;20
240734;M. O'Riley;79;86;7;23;Major;Brighton & Hove Albion;Midfielder;CM;21,8;Left;35000000;77000;10;74;Lean (185+);Controlled;11;6;9;9;0
207410;M. Kovačić;83;83;0;30;Major;Manchester City;Midfielder;CM;25,5;Right;34500000;160000;7;73;Normal (170-185);Controlled Explosive;1;1;1;1;10
246420;J. Doku;80;86;6;22;Junior;Manchester City;Midfielder;CAM;25,7;Right;34000000;115000;10;64;Normal (170-185);Explosive;1;1;1;1;10
226753;A. Onana;84;85;1;28;Major;Manchester United;Goalkeeper;GK;25,8;Right;33500000;90000;82;50;Stocky (185+);Controlled Lengthy;8;3;6;6;20
235794;E. Eze;81;84;3;26;Major;Crystal Palace;Midfielder;CAM;21,1;Right;33500000;95000;11;71;Lean (170-185);Controlled Explosive;10;11;12;11;0
186942;İ. Gündoğan;85;85;0;33;Senior;Manchester City;Midfielder;CM;24,7;Right;33000000;195000;10;76;Normal (170-185);Controlled;1;1;1;1;10
247649;J. Branthwaite;79;86;7;22;Junior;Everton;Defender;CB;19,5;Left;33000000;51000;10;59;Normal (185+);Controlled Lengthy;15;17;16;16;9
224371;J. Bowen;82;82;0;27;Major;West Ham United;Attacker;RM;22,9;Left;32500000;110000;11;70;Normal (170-185);Controlled Explosive;9;14;7;10;0
223334;Joelinton;82;82;0;27;Major;Newcastle United;Midfielder;CM;23,4;Right;32000000;125000;11;76;Stocky (185+);Controlled Lengthy;7;4;11;7;4
241159;M. Guéhi;81;84;3;23;Major;Crystal Palace;Defender;CB;24,8;Right;31500000;78000;10;66;Normal (170-185);Controlled Lengthy;10;11;12;11;0
259307;M. Gusto;80;86;6;21;Junior;Chelsea;Defender;RWB;21,1;Right;31500000;81000;10;72;Lean (170-185);Mostly Explosive;6;12;3;7;6
246174;H. Elliott;78;86;8;21;Junior;Liverpool;Midfielder;CAM;22,7;Left;31500000;61000;9;67;Normal (170-185);Controlled Explosive;3;5;2;3;19
225539;D. Solanke;81;82;1;26;Major;Tottenham Hotspur;Attacker;ST;22,9;Right;31000000;120000;11;66;Lean (185+);Controlled Lengthy;5;8;4;6;2
241464;Pau Torres;82;83;1;27;Major;Aston Villa;Midfielder;CDM;21,9;Left;30500000;120000;12;70;Lean (185+);Controlled Lengthy;4;7;14;8;7
256612;Evanilson;80;84;4;24;Major;AFC Bournemouth;Attacker;ST;23,5;Right;30500000;69000;10;65;Normal (170-185);Controlled Explosive;12;15;22;16;0
231943;Richarlison;81;82;1;27;Major;Tottenham Hotspur;Attacker;ST;21;Right;30000000;120000;10;71;Normal (170-185);Controlled Lengthy;5;8;4;6;2
242434;C. Jones;80;84;4;23;Major;Liverpool;Midfielder;CM;21,9;Right;30000000;82000;9;72;Unique;Controlled Lengthy;3;5;2;3;19
227535;R. Bentancur;81;82;1;27;Major;Tottenham Hotspur;Midfielder;CM;20,9;Right;29500000;110000;11;75;Lean (185+);Controlled Lengthy;5;8;4;6;2
243014;B. Mbeumo;80;83;3;24;Major;Brentford;Midfielder;CAM;25,6;Left;29000000;75000;13;72;Normal (170-185);Mostly Explosive;16;9;13;13;0
248793;M. Wieffer;80;85;5;24;Major;Brighton & Hove Albion;Midfielder;CDM;22,1;Right;29000000;78000;10;72;Lean (185+);Controlled Lengthy;11;6;9;9;0
259399;R. Højlund;78;85;7;21;Junior;Manchester United;Attacker;ST;21,7;Left;29000000;72000;10;63;Normal (185+);Controlled Lengthy;8;3;6;6;20
269136;K. Mainoo;78;87;9;19;Junior;Manchester United;Midfielder;CAM;24,4;Right;28500000;57000;10;73;Lean (170-185);Controlled Explosive;8;3;6;6;20
250961;J. Zirkzee;78;85;7;23;Major;Manchester United;Midfielder;CAM;23,9;Right;28500000;83000;10;66;Stocky (185+);Controlled;8;3;6;6;20
230666;Gabriel Jesus;81;81;0;27;Major;Arsenal;Attacker;RW;23,8;Right;28000000;135000;10;70;Unique;Explosive;2;2;5;3;13
229906;L. Bailey;81;81;0;26;Major;Aston Villa;Attacker;LW;24,3;Left;28000000;115000;12;68;Lean (170-185);Mostly Explosive;4;7;14;8;7
233927;Lucas Paquetá;81;81;0;26;Major;West Ham United;Attacker;LM;22,2;Left;28000000;100000;11;75;Normal (170-185);Controlled;9;14;7;10;0
231677;M. Rashford;81;81;0;26;Major;Manchester United;Attacker;CF;20,2;Right;28000000;110000;11;67;Unique;Controlled Lengthy;8;3;6;6;20
205988;L. Shaw;82;82;0;28;Major;Manchester United;Defender;LB;22,9;Left;27500000;120000;10;75;Stocky (170-185);Controlled Explosive;8;3;6;6;20
255565;K. Mitoma;81;81;0;27;Major;Brighton & Hove Albion;Attacker;LM;22,4;Right;27500000;100000;11;70;Lean (170-185);Mostly Explosive;11;6;9;9;0
236401;N. Mazraoui;81;82;1;26;Major;Manchester United;Defender;RB;19,4;Right;27500000;105000;11;73;Lean (170-185);Controlled Lengthy;8;3;6;6;20
269087;L. Yoro;78;86;8;18;Junior;Manchester United;Defender;CB;20,8;Right;27500000;53000;11;62;Lean (185+);Controlled Lengthy;8;3;6;6;20
254796;N. Madueke;79;84;5;22;Junior;Chelsea;Midfielder;CAM;22,6;Left;27000000;95000;10;67;Lean (170-185);Mostly Explosive;6;12;3;7;6
262118;T. Livramento;78;85;7;21;Junior;Newcastle United;Defender;RWB;21,7;Right;27000000;65000;11;69;Normal (170-185);Controlled Explosive;7;4;11;7;4
227678;E. Konsa;81;82;1;26;Major;Aston Villa;Defender;CB;23;Right;26500000;110000;11;69;Lean (170-185);Controlled Lengthy;4;7;14;8;7
240243;Matheus Cunha;80;82;2;25;Major;Wolverhampton Wanderers;Midfielder;CAM;22,7;Right;26500000;73000;10;70;Lean (170-185);Controlled Lengthy;14;13;10;12;3
248465;I. Maatsen;79;85;6;22;Junior;Aston Villa;Defender;LB;18;Left;26500000;85000;11;72;Lean (170-185);Mostly Explosive;4;7;14;8;7
251421;B. Johnson;79;84;5;23;Major;Tottenham Hotspur;Attacker;RM;21,1;Right;26500000;90000;10;66;Lean (185+);Controlled;5;8;4;6;2
242641;R. Aït-Nouri;79;85;6;23;Major;Wolverhampton Wanderers;Defender;LB;21,6;Left;26000000;58000;12;71;Lean (170-185);Mostly Explosive;14;13;10;12;3
259868;P. Sarr;79;85;6;21;Junior;Tottenham Hotspur;Midfielder;CM;20,7;Right;26000000;67000;10;71;Lean (170-185);Controlled Lengthy;5;8;4;6;2
271574;R. Lewis;78;85;7;19;Junior;Manchester City;Defender;RWB;24,5;Right;26000000;69000;11;68;Lean (170-);Explosive;1;1;1;1;10
259240;A. Wharton;78;85;7;20;Junior;Crystal Palace;Midfielder;CDM;21,1;Left;26000000;53000;9;71;Lean (170-185);Controlled Explosive;10;11;12;11;0
209989;T. Partey;83;83;0;31;Senior;Arsenal;Midfielder;CDM;22,5;Right;25500000;145000;10;73;Lean (185+);Controlled Lengthy;2;2;5;3;13
205431;N. Füllkrug;82;82;0;31;Senior;West Ham United;Attacker;ST;23,5;Right;25500000;125000;11;68;Stocky (185+);Controlled Lengthy;9;14;7;10;0
210881;J. McGinn;81;81;0;29;Major;Aston Villa;Midfielder;CM;21,5;Left;25500000;120000;11;77;Stocky (170-185);Controlled Explosive;4;7;14;8;7
278016;Murillo;79;85;6;21;Junior;Nottingham Forest;Defender;CB;23,1;Left;25500000;48000;12;67;Stocky (170-185);Controlled Explosive;17;16;24;19;1
262859;L. Colwill;79;85;6;21;Junior;Chelsea;Defender;CB;23,7;Left;25500000;76000;12;67;Lean (185+);Controlled Lengthy;6;12;3;7;6
238616;Pedro Neto;79;83;4;24;Major;Chelsea;Midfielder;CAM;20,7;Left;25000000;95000;9;66;Unique;Explosive;6;12;3;7;6
242619;C. Doucouré;79;84;5;24;Major;Crystal Palace;Midfielder;CDM;22,5;Right;24500000;69000;13;69;Normal (170-185);Controlled;10;11;12;11;0
257057;A. Onana;79;84;5;22;Junior;Aston Villa;Defender;CB;20,6;Right;24500000;85000;10;70;Lean (185+);Controlled Lengthy;4;7;14;8;7
200145;Casemiro;83;83;0;32;Senior;Manchester United;Midfielder;CDM;24,5;Right;24000000;130000;13;73;Unique;Controlled;8;3;6;6;20
233934;A. Ramsdale;81;83;2;26;Major;Southampton;Goalkeeper;GK;21,1;Right;24000000;44000;81;46;Lean (185+);Controlled;24;20;15;20;0
236015;M. Gibbs-White;79;82;3;24;Major;Nottingham Forest;Midfielder;CAM;22,5;Right;24000000;61000;11;72;Normal (170-185);Controlled Explosive;17;16;24;19;1
248695;W. Fofana;79;84;5;23;Major;Chelsea;Defender;CB;24,3;Right;24000000;90000;11;65;Normal (185+);Controlled Lengthy;6;12;3;7;6
234742;H. Barnes;80;80;0;26;Major;Newcastle United;Attacker;CF;21;Right;23000000;115000;8;67;Normal (185+);Controlled Lengthy;7;4;11;7;4
238095;N. Milenković;80;82;2;26;Major;Nottingham Forest;Defender;CB;23,7;Right;23000000;69000;10;63;Normal (185+);Controlled Lengthy;17;16;24;19;1
229348;A. Robinson;80;81;1;26;Major;Fulham;Defender;LB;20,9;Left;22500000;84000;12;70;Lean (185+);Controlled Lengthy;13;10;21;15;0
251805;J. Timber;79;83;4;23;Major;Arsenal;Defender;CB;24,3;Right;22500000;90000;10;68;Normal (170-185);Controlled Explosive;2;2;5;3;13
245388;J. Todibo;79;83;4;24;Major;West Ham United;Defender;CB;24,4;Right;22500000;32000;10;66;Normal (185+);Controlled Lengthy;9;14;7;10;0
235844;E. Álvarez;80;81;1;26;Major;West Ham United;Defender;CB;20,9;Right;22000000;90000;8;70;Normal (185+);Controlled Lengthy;9;14;7;10;0
263620;R. Lavia;77;85;8;20;Junior;Chelsea;Midfielder;CDM;23,2;Right;22000000;65000;9;68;Normal (170-185);Controlled;6;12;3;7;6
225659;G. Rodríguez;81;81;0;30;Major;West Ham United;Midfielder;CDM;23,4;Right;21500000;100000;12;69;Lean (185+);Controlled Lengthy;9;14;7;10;0
236480;Y. Bissouma;80;81;1;27;Major;Tottenham Hotspur;Midfielder;CDM;23,5;Right;21500000;95000;10;74;Lean (170-185);Controlled;5;8;4;6;2
260247;M. Rogers;78;83;5;21;Junior;Aston Villa;Midfielder;CAM;22,6;Right;21500000;70000;11;70;Normal (185+);Controlled Lengthy;4;7;14;8;7
196978;C. Wilson;81;81;0;32;Senior;Newcastle United;Attacker;ST;20,4;Right;21000000;130000;10;67;Normal (170-185);Controlled;7;4;11;7;4
225100;J. Gomez;80;81;1;27;Major;Liverpool;Defender;CB;21,8;Right;21000000;90000;10;65;Unique;Controlled Lengthy;3;5;2;3;19
257711;R. Calafiori;78;84;6;22;Junior;Arsenal;Defender;CB;24,3;Left;21000000;82000;8;71;Normal (185+);Controlled Lengthy;2;2;5;3;13
247172;J. Durán;77;84;7;20;Junior;Aston Villa;Attacker;ST;20;Left;21000000;72000;7;61;Normal (185+);Controlled Lengthy;4;7;14;8;7
205498;Jorginho;82;82;0;32;Senior;Arsenal;Midfielder;CDM;21,5;Right;20500000;135000;11;72;Lean (170-185);Controlled;2;2;5;3;13
204935;J. Pickford;82;82;0;30;Major;Everton;Goalkeeper;GK;22,5;Left;20500000;49000;83;51;Normal (185+);Controlled Lengthy;15;17;16;16;9
202652;R. Sterling;80;80;0;29;Major;Arsenal;Attacker;RW;23,3;Right;20500000;120000;13;69;Unique;Explosive;2;2;5;3;13
236461;J. Mateta;79;80;1;27;Major;Crystal Palace;Attacker;ST;23,9;Right;20500000;90000;9;63;Stocky (185+);Controlled Lengthy;10;11;12;11;0
260908;M. Kerkez;78;84;6;20;Junior;AFC Bournemouth;Defender;LWB;21,9;Left;20500000;43000;11;70;Normal (170-185);Mostly Explosive;12;15;22;16;0
210047;F. Schär;82;82;0;32;Senior;Newcastle United;Defender;CB;23,8;Right;20000000;125000;11;73;Normal (185+);Controlled Lengthy;7;4;11;7;4
246923;J. Ramsey;78;82;4;23;Major;Aston Villa;Midfielder;CAM;22,2;Right;20000000;81000;10;72;Normal (170-185);Controlled Explosive;4;7;14;8;7
240740;C. Hudson-Odoi;78;82;4;23;Major;Nottingham Forest;Midfielder;CAM;22,9;Right;20000000;54000;12;68;Normal (170-185);Mostly Explosive;17;16;24;19;1
273463;João Gomes;78;83;5;23;Major;Wolverhampton Wanderers;Midfielder;CDM;23,9;Right;19500000;53000;12;72;Normal (170-185);Controlled;14;13;10;12;3
244067;M. Lacroix;77;84;7;24;Major;Crystal Palace;Defender;CB;24,4;Right;19500000;59000;11;63;Normal (185+);Controlled Lengthy;10;11;12;11;0
237942;P. Estupiñán;79;80;1;26;Major;Brighton & Hove Albion;Defender;LB;25,8;Left;19000000;85000;10;71;Normal (170-185);Controlled;11;6;9;9;0
229880;A. Wan-Bissaka;79;80;1;26;Major;West Ham United;Defender;RB;21,5;Right;19000000;85000;8;68;Unique;Controlled Lengthy;9;14;7;10;0
227174;M. Cash;79;80;1;26;Major;Aston Villa;Defender;RB;21,6;Right;19000000;100000;13;71;Normal (185+);Controlled Lengthy;4;7;14;8;7
240273;E. Smith Rowe;78;81;3;23;Major;Fulham;Midfielder;CAM;22;Right;19000000;67000;10;66;Normal (170-185);Controlled Explosive;13;10;21;15;0
243282;D. McNeil;78;81;3;24;Major;Everton;Midfielder;CAM;20,9;Left;19000000;48000;12;69;Lean (170-185);Controlled;15;17;16;16;9
234824;Y. Wissa;79;79;0;27;Major;Brentford;Attacker;LW;23,9;Right;18500000;81000;10;64;Lean (170-185);Mostly Explosive;16;9;13;13;0
232730;D. Kamada;79;79;0;27;Major;Crystal Palace;Midfielder;CAM;21,3;Right;18500000;85000;9;69;Lean (170-185);Controlled;10;11;12;11;0
237386;K. Dewsbury-Hall;78;81;3;25;Major;Chelsea;Midfielder;CM;25,2;Left;18500000;95000;11;73;Lean (170-185);Controlled;6;12;3;7;6
233064;M. Mount;78;81;3;25;Major;Manchester United;Midfielder;CAM;22,6;Right;18500000;83000;11;72;Lean (170-185);Controlled Explosive;8;3;6;6;20
258485;F. Jörgensen;77;84;7;22;Junior;Chelsea;Goalkeeper;GK;23,1;Right;18500000;45000;77;42;Lean (185+);Controlled;6;12;3;7;6
258498;B. Verbruggen;77;84;7;21;Junior;Brighton & Hove Albion;Goalkeeper;GK;23,9;Right;18500000;26000;76;41;Lean (185+);Controlled Lengthy;11;6;9;9;0
203841;N. Pope;83;83;0;32;Senior;Newcastle United;Goalkeeper;GK;22,7;Right;18000000;90000;81;44;Normal (185+);Controlled Lengthy;7;4;11;7;4
200458;L. Digne;80;80;0;30;Major;Aston Villa;Defender;LB;23,4;Left;18000000;110000;9;75;Unique;Controlled;4;7;14;8;7
224221;J. Andersen;80;80;0;28;Major;Fulham;Defender;CB;24,4;Right;18000000;88000;12;68;Normal (185+);Controlled Lengthy;13;10;21;15;0
240913;C. Kelleher;79;82;3;25;Major;Liverpool;Goalkeeper;GK;22,9;Right;18000000;50000;78;42;Lean (185+);Controlled Lengthy;3;5;2;3;19
230918;T. Chalobah;78;82;4;24;Major;Crystal Palace;Defender;CB;20,3;Right;18000000;82000;7;66;Lean (185+);Controlled Lengthy;10;11;12;11;0
212188;T. Werner;79;79;0;28;Major;Tottenham Hotspur;Attacker;LW;23,5;Right;17500000;61000;10;66;Unique;Mostly Explosive;5;8;4;6;2
253124;Matheus Nunes;78;80;2;25;Major;Manchester City;Midfielder;CAM;22,7;Right;17500000;100000;12;73;Lean (170-185);Controlled Lengthy;1;1;1;1;10
205569;J. Ward-Prowse;79;79;0;29;Major;Nottingham Forest;Midfielder;CM;22,1;Right;17000000;95000;13;73;Normal (170-185);Controlled;17;16;24;19;1
227813;O. Zinchenko;79;79;0;27;Major;Arsenal;Midfielder;CM;20,9;Left;17000000;105000;12;75;Lean (170-185);Controlled Explosive;2;2;5;3;13
226491;K. Tierney;79;79;0;27;Major;Arsenal;Defender;LB;22,5;Left;17000000;105000;12;72;Lean (170-185);Controlled Explosive;2;2;5;3;13
