ID;Name;Overall rating;Potential;Growth;Age;Age group;Team;Position rank;Position;IMC;Foot;Joined;Value;Wage;Goalkeeping;Total stats;Body type;Acceleration type;Classement 23/24;Classement 22/23;Classement 21/22;Classement moyen;Palmares ;Value_bins
240091;G. Vicario;84;87;3;27;Major;Tottenham Hotspur;Goalkeeper;GK;20,2;Right;01-07-23;41,5;86000;83;45;Lean (185+);Controlled;5;8;4;6;2;40-45
251566;Gabriel Martinelli;82;85;3;23;Major;Arsenal;Attacker;LW;23,7;Right;02-07-19;41,5;125000;7;70;Lean (170-185);Mostly Explosive;2;2;5;3;13;40-45
259583;D. Udogie;82;86;4;21;Junior;Tottenham Hotspur;Defender;LB;21,1;Left;17-08-22;41,5;82000;11;74;Normal (185+);Controlled;5;8;4;6;2;40-45
253072;D. Núñez;82;85;3;25;Major;Liverpool;Attacker;ST;23,2;Right;01-07-22;41;115000;12;72;Lean (185+);Controlled Lengthy;3;5;2;3;19;40-45
229237;M. Akanji;84;85;1;28;Major;Manchester City;Defender;CB;26;Right;01-09-22;40;170000;9;70;Unique;Controlled Lengthy;1;1;1;1;10;40-45
239231;Marc Cucurella;83;84;1;25;Major;Chelsea;Defender;LB;22,4;Left;05-08-22;39,5;135000;10;76;Normal (170-185);Controlled Explosive;6;12;3;7;6;35-40
208920;N. Aké;84;85;1;29;Major;Manchester City;Defender;CB;23,1;Left;05-08-20;39;170000;10;72;Normal (170-185);Controlled Explosive;1;1;1;1;10;35-40
236772;D. Szoboszlai;81;86;5;23;Major;Liverpool;Midfielder;CAM;21,4;Right;02-07-23;39;89000;10;75;Normal (185+);Controlled Lengthy;3;5;2;3;19;35-40
268438;Alejandro Garnacho;79;87;8;20;Junior;Manchester United;Attacker;RM;22,2;Right;28-07-21;38,5;71000;11;65;Lean (170-185);Mostly Explosive;8;3;6;6;20;35-40
259197;N. Jackson;81;85;4;23;Major;Chelsea;Attacker;ST;22,3;Right;01-07-23;37,5;120000;9;67;Lean (185+);Controlled;6;12;3;7;6;35-40
251809;S. Botman;82;85;3;24;Major;Newcastle United;Defender;CB;21,7;Left;01-07-22;37;105000;10;63;Normal (185+);Controlled Lengthy;7;4;11;7;4;35-40
242444;João Félix;81;85;4;24;Major;Chelsea;Midfielder;CAM;21,4;Right;21-08-24;37;110000;13;71;Unique;Mostly Explosive;6;12;3;7;6;35-40
216267;A. Robertson;84;84;0;30;Major;Liverpool;Defender;LB;20,2;Left;21-07-17;36,5;130000;10;75;Unique;Controlled Explosive;3;5;2;3;19;35-40
206517;J. Grealish;83;83;0;28;Major;Manchester City;Attacker;LW;25;Right;05-08-21;36,5;175000;10;72;Unique;Controlled Explosive;1;1;1;1;10;35-40
238074;R. James;82;84;2;24;Major;Chelsea;Defender;CB;28,4;Right;01-03-17;36,5;110000;10;79;Stocky (170-185);Controlled Explosive;6;12;3;7;6;35-40
235152;F. Kadıoğlu;81;86;5;24;Major;Brighton & Hove Albion;Attacker;RM;24,1;Right;27-08-24;36,5;83000;10;75;Normal (170-185);Explosive;11;6;9;9;0;35-40
246104;R. Gravenberch;81;86;5;22;Junior;Liverpool;Midfielder;CAM;21,3;Right;01-09-23;36,5;83000;10;76;Lean (185+);Controlled Lengthy;3;5;2;3;19;35-40
220901;David Raya;84;86;2;28;Major;Arsenal;Goalkeeper;GK;22,4;Right;04-07-24;36;105000;84;48;Normal (170-185);Controlled;2;2;5;3;13;35-40
207421;L. Trossard;83;83;0;29;Major;Arsenal;Attacker;LW;22,9;Right;20-01-23;35,5;165000;9;67;Normal (170-185);Explosive;2;2;5;3;13;35-40
236987;B. Kamara;82;84;2;24;Major;Aston Villa;Midfielder;CDM;20,1;Right;01-07-22;35,5;105000;9;70;Lean (170-185);Controlled Lengthy;4;7;14;8;7;35-40
253306;M. Ugarte;81;86;5;23;Major;Manchester United;Midfielder;CDM;23,2;Right;30-08-24;35,5;90000;11;72;Normal (170-185);Controlled Explosive;8;3;6;6;20;35-40
216393;Y. Tielemans;82;83;1;27;Major;Aston Villa;Midfielder;CM;23,2;Right;01-07-23;35;125000;10;73;Normal (170-185);Controlled;4;7;14;8;7;35-40
234574;Diogo Dalot;82;84;2;25;Major;Manchester United;Defender;RWB;22,7;Right;09-06-18;35;105000;8;75;Normal (170-185);Controlled;8;3;6;6;20;35-40
240734;M. O'Riley;79;86;7;23;Major;Brighton & Hove Albion;Midfielder;CM;21,8;Left;26-08-24;35;77000;10;74;Lean (185+);Controlled;11;6;9;9;0;35-40
207410;M. Kovačić;83;83;0;30;Major;Manchester City;Midfielder;CM;25,5;Right;27-06-23;34,5;160000;7;73;Normal (170-185);Controlled Explosive;1;1;1;1;10;30-35
246420;J. Doku;80;86;6;22;Junior;Manchester City;Midfielder;CAM;25,7;Right;24-08-23;34;115000;10;64;Normal (170-185);Explosive;1;1;1;1;10;30-35
226753;A. Onana;84;85;1;28;Major;Manchester United;Goalkeeper;GK;25,8;Right;20-07-23;33,5;90000;82;50;Stocky (185+);Controlled Lengthy;8;3;6;6;20;30-35
235794;E. Eze;81;84;3;26;Major;Crystal Palace;Midfielder;CAM;21,1;Right;28-08-20;33,5;95000;11;71;Lean (170-185);Controlled Explosive;10;11;12;11;0;30-35
186942;İ. Gündoğan;85;85;0;33;Senior;Manchester City;Midfielder;CM;24,7;Right;23-08-24;33;195000;10;76;Normal (170-185);Controlled;1;1;1;1;10;30-35
247649;J. Branthwaite;79;86;7;22;Junior;Everton;Defender;CB;19,5;Left;13-01-20;33;51000;10;59;Normal (185+);Controlled Lengthy;15;17;16;16;9;30-35
224371;J. Bowen;82;82;0;27;Major;West Ham United;Attacker;RM;22,9;Left;31-01-20;32,5;110000;11;70;Normal (170-185);Controlled Explosive;9;14;7;10;0;30-35
223334;Joelinton;82;82;0;27;Major;Newcastle United;Midfielder;CM;23,4;Right;23-07-19;32;125000;11;76;Stocky (185+);Controlled Lengthy;7;4;11;7;4;30-35
241159;M. Guéhi;81;84;3;23;Major;Crystal Palace;Defender;CB;24,8;Right;18-07-21;31,5;78000;10;66;Normal (170-185);Controlled Lengthy;10;11;12;11;0;30-35
259307;M. Gusto;80;86;6;21;Junior;Chelsea;Defender;RWB;21,1;Right;30-01-23;31,5;81000;10;72;Lean (170-185);Mostly Explosive;6;12;3;7;6;30-35
246174;H. Elliott;78;86;8;21;Junior;Liverpool;Midfielder;CAM;22,7;Left;28-07-19;31,5;61000;9;67;Normal (170-185);Controlled Explosive;3;5;2;3;19;30-35
225539;D. Solanke;81;82;1;26;Major;Tottenham Hotspur;Attacker;ST;22,9;Right;10-08-24;31;120000;11;66;Lean (185+);Controlled Lengthy;5;8;4;6;2;30-35
241464;Pau Torres;82;83;1;27;Major;Aston Villa;Midfielder;CDM;21,9;Left;12-07-23;30,5;120000;12;70;Lean (185+);Controlled Lengthy;4;7;14;8;7;30-35
256612;Evanilson;80;84;4;24;Major;AFC Bournemouth;Attacker;ST;23,5;Right;16-08-24;30,5;69000;10;65;Normal (170-185);Controlled Explosive;12;15;22;16;0;30-35
231943;Richarlison;81;82;1;27;Major;Tottenham Hotspur;Attacker;ST;21;Right;01-07-22;30;120000;10;71;Normal (170-185);Controlled Lengthy;5;8;4;6;2;30-35
242434;C. Jones;80;84;4;23;Major;Liverpool;Midfielder;CM;21,9;Right;01-02-18;30;82000;9;72;Unique;Controlled Lengthy;3;5;2;3;19;30-35
227535;R. Bentancur;81;82;1;27;Major;Tottenham Hotspur;Midfielder;CM;20,9;Right;31-01-22;29,5;110000;11;75;Lean (185+);Controlled Lengthy;5;8;4;6;2;25-30
243014;B. Mbeumo;80;83;3;24;Major;Brentford;Midfielder;CAM;25,6;Left;05-08-19;29;75000;13;72;Normal (170-185);Mostly Explosive;16;9;13;13;0;25-30
248793;M. Wieffer;80;85;5;24;Major;Brighton & Hove Albion;Midfielder;CDM;22,1;Right;05-07-24;29;78000;10;72;Lean (185+);Controlled Lengthy;11;6;9;9;0;25-30
259399;R. Højlund;78;85;7;21;Junior;Manchester United;Attacker;ST;21,7;Left;05-08-23;29;72000;10;63;Normal (185+);Controlled Lengthy;8;3;6;6;20;25-30
269136;K. Mainoo;78;87;9;19;Junior;Manchester United;Midfielder;CAM;24,4;Right;16-05-22;28,5;57000;10;73;Lean (170-185);Controlled Explosive;8;3;6;6;20;25-30
250961;J. Zirkzee;78;85;7;23;Major;Manchester United;Midfielder;CAM;23,9;Right;14-07-24;28,5;83000;10;66;Stocky (185+);Controlled;8;3;6;6;20;25-30
230666;Gabriel Jesus;81;81;0;27;Major;Arsenal;Attacker;RW;23,8;Right;04-07-22;28;135000;10;70;Unique;Explosive;2;2;5;3;13;25-30
229906;L. Bailey;81;81;0;26;Major;Aston Villa;Attacker;LW;24,3;Left;04-08-21;28;115000;12;68;Lean (170-185);Mostly Explosive;4;7;14;8;7;25-30
233927;Lucas Paquetá;81;81;0;26;Major;West Ham United;Attacker;LM;22,2;Left;29-08-22;28;100000;11;75;Normal (170-185);Controlled;9;14;7;10;0;25-30
231677;M. Rashford;81;81;0;26;Major;Manchester United;Attacker;CF;20,2;Right;21-11-15;28;110000;11;67;Unique;Controlled Lengthy;8;3;6;6;20;25-30
205988;L. Shaw;82;82;0;28;Major;Manchester United;Defender;LB;22,9;Left;27-06-14;27,5;120000;10;75;Stocky (170-185);Controlled Explosive;8;3;6;6;20;25-30
255565;K. Mitoma;81;81;0;27;Major;Brighton & Hove Albion;Attacker;LM;22,4;Right;10-08-21;27,5;100000;11;70;Lean (170-185);Mostly Explosive;11;6;9;9;0;25-30
236401;N. Mazraoui;81;82;1;26;Major;Manchester United;Defender;RB;19,4;Right;13-08-24;27,5;105000;11;73;Lean (170-185);Controlled Lengthy;8;3;6;6;20;25-30
269087;L. Yoro;78;86;8;18;Junior;Manchester United;Defender;CB;20,8;Right;18-07-24;27,5;53000;11;62;Lean (185+);Controlled Lengthy;8;3;6;6;20;25-30
254796;N. Madueke;79;84;5;22;Junior;Chelsea;Midfielder;CAM;22,6;Left;21-01-23;27;95000;10;67;Lean (170-185);Mostly Explosive;6;12;3;7;6;25-30
262118;T. Livramento;78;85;7;21;Junior;Newcastle United;Defender;RWB;21,7;Right;08-08-23;27;65000;11;69;Normal (170-185);Controlled Explosive;7;4;11;7;4;25-30
227678;E. Konsa;81;82;1;26;Major;Aston Villa;Defender;CB;23;Right;11-07-19;26,5;110000;11;69;Lean (170-185);Controlled Lengthy;4;7;14;8;7;25-30
240243;Matheus Cunha;80;82;2;25;Major;Wolverhampton Wanderers;Midfielder;CAM;22,7;Right;01-07-23;26,5;73000;10;70;Lean (170-185);Controlled Lengthy;14;13;10;12;3;25-30
248465;I. Maatsen;79;85;6;22;Junior;Aston Villa;Defender;LB;18;Left;28-06-24;26,5;85000;11;72;Lean (170-185);Mostly Explosive;4;7;14;8;7;25-30
251421;B. Johnson;79;84;5;23;Major;Tottenham Hotspur;Attacker;RM;21,1;Right;01-09-23;26,5;90000;10;66;Lean (185+);Controlled;5;8;4;6;2;25-30
242641;R. Aït-Nouri;79;85;6;23;Major;Wolverhampton Wanderers;Defender;LB;21,6;Left;09-07-21;26;58000;12;71;Lean (170-185);Mostly Explosive;14;13;10;12;3;25-30
259868;P. Sarr;79;85;6;21;Junior;Tottenham Hotspur;Midfielder;CM;20,7;Right;27-08-21;26;67000;10;71;Lean (170-185);Controlled Lengthy;5;8;4;6;2;25-30
271574;R. Lewis;78;85;7;19;Junior;Manchester City;Defender;RWB;24,5;Right;01-07-22;26;69000;11;68;Lean (170-);Explosive;1;1;1;1;10;25-30
259240;A. Wharton;78;85;7;20;Junior;Crystal Palace;Midfielder;CDM;21,1;Left;01-02-24;26;53000;9;71;Lean (170-185);Controlled Explosive;10;11;12;11;0;25-30
209989;T. Partey;83;83;0;31;Senior;Arsenal;Midfielder;CDM;22,5;Right;05-10-20;25,5;145000;10;73;Lean (185+);Controlled Lengthy;2;2;5;3;13;25-30
205431;N. Füllkrug;82;82;0;31;Senior;West Ham United;Attacker;ST;23,5;Right;05-08-24;25,5;125000;11;68;Stocky (185+);Controlled Lengthy;9;14;7;10;0;25-30
210881;J. McGinn;81;81;0;29;Major;Aston Villa;Midfielder;CM;21,5;Left;08-08-18;25,5;120000;11;77;Stocky (170-185);Controlled Explosive;4;7;14;8;7;25-30
278016;Murillo;79;85;6;21;Junior;Nottingham Forest;Defender;CB;23,1;Left;31-08-23;25,5;48000;12;67;Stocky (170-185);Controlled Explosive;17;16;24;19;1;25-30
262859;L. Colwill;79;85;6;21;Junior;Chelsea;Defender;CB;23,7;Left;26-02-20;25,5;76000;12;67;Lean (185+);Controlled Lengthy;6;12;3;7;6;25-30
238616;Pedro Neto;79;83;4;24;Major;Chelsea;Midfielder;CAM;20,7;Left;11-08-24;25;95000;9;66;Unique;Explosive;6;12;3;7;6;25-30
242619;C. Doucouré;79;84;5;24;Major;Crystal Palace;Midfielder;CDM;22,5;Right;11-07-22;24,5;69000;13;69;Normal (170-185);Controlled;10;11;12;11;0;20-25
257057;A. Onana;79;84;5;22;Junior;Aston Villa;Defender;CB;20,6;Right;22-07-24;24,5;85000;10;70;Lean (185+);Controlled Lengthy;4;7;14;8;7;20-25
200145;Casemiro;83;83;0;32;Senior;Manchester United;Midfielder;CDM;24,5;Right;19-08-22;24;130000;13;73;Unique;Controlled;8;3;6;6;20;20-25
233934;A. Ramsdale;81;83;2;26;Major;Southampton;Goalkeeper;GK;21,1;Right;30-08-24;24;44000;81;46;Lean (185+);Controlled;24;20;15;20;0;20-25
236015;M. Gibbs-White;79;82;3;24;Major;Nottingham Forest;Midfielder;CAM;22,5;Right;19-08-22;24;61000;11;72;Normal (170-185);Controlled Explosive;17;16;24;19;1;20-25
248695;W. Fofana;79;84;5;23;Major;Chelsea;Defender;CB;24,3;Right;31-08-22;24;90000;11;65;Normal (185+);Controlled Lengthy;6;12;3;7;6;20-25
234742;H. Barnes;80;80;0;26;Major;Newcastle United;Attacker;CF;21;Right;23-07-23;23;115000;8;67;Normal (185+);Controlled Lengthy;7;4;11;7;4;20-25
238095;N. Milenković;80;82;2;26;Major;Nottingham Forest;Defender;CB;23,7;Right;18-07-24;23;69000;10;63;Normal (185+);Controlled Lengthy;17;16;24;19;1;20-25
229348;A. Robinson;80;81;1;26;Major;Fulham;Defender;LB;20,9;Left;20-08-20;22,5;84000;12;70;Lean (185+);Controlled Lengthy;13;10;21;15;0;20-25
251805;J. Timber;79;83;4;23;Major;Arsenal;Defender;CB;24,3;Right;14-07-23;22,5;90000;10;68;Normal (170-185);Controlled Explosive;2;2;5;3;13;20-25
245388;J. Todibo;79;83;4;24;Major;West Ham United;Defender;CB;24,4;Right;27-06-21;22,5;32000;10;66;Normal (185+);Controlled Lengthy;9;14;7;10;0;20-25
235844;E. Álvarez;80;81;1;26;Major;West Ham United;Defender;CB;20,9;Right;10-08-23;22;90000;8;70;Normal (185+);Controlled Lengthy;9;14;7;10;0;20-25
263620;R. Lavia;77;85;8;20;Junior;Chelsea;Midfielder;CDM;23,2;Right;18-08-23;22;65000;9;68;Normal (170-185);Controlled;6;12;3;7;6;20-25
225659;G. Rodríguez;81;81;0;30;Major;West Ham United;Midfielder;CDM;23,4;Right;06-08-24;21,5;100000;12;69;Lean (185+);Controlled Lengthy;9;14;7;10;0;20-25
236480;Y. Bissouma;80;81;1;27;Major;Tottenham Hotspur;Midfielder;CDM;23,5;Right;17-06-22;21,5;95000;10;74;Lean (170-185);Controlled;5;8;4;6;2;20-25
260247;M. Rogers;78;83;5;21;Junior;Aston Villa;Midfielder;CAM;22,6;Right;01-02-24;21,5;70000;11;70;Normal (185+);Controlled Lengthy;4;7;14;8;7;20-25
196978;C. Wilson;81;81;0;32;Senior;Newcastle United;Attacker;ST;20,4;Right;07-09-20;21;130000;10;67;Normal (170-185);Controlled;7;4;11;7;4;20-25
225100;J. Gomez;80;81;1;27;Major;Liverpool;Defender;CB;21,8;Right;20-06-15;21;90000;10;65;Unique;Controlled Lengthy;3;5;2;3;19;20-25
257711;R. Calafiori;78;84;6;22;Junior;Arsenal;Defender;CB;24,3;Left;29-07-24;21;82000;8;71;Normal (185+);Controlled Lengthy;2;2;5;3;13;20-25
247172;J. Durán;77;84;7;20;Junior;Aston Villa;Attacker;ST;20;Left;23-01-23;21;72000;7;61;Normal (185+);Controlled Lengthy;4;7;14;8;7;20-25
205498;Jorginho;82;82;0;32;Senior;Arsenal;Midfielder;CDM;21,5;Right;31-01-23;20,5;135000;11;72;Lean (170-185);Controlled;2;2;5;3;13;20-25
204935;J. Pickford;82;82;0;30;Major;Everton;Goalkeeper;GK;22,5;Left;15-06-17;20,5;49000;83;51;Normal (185+);Controlled Lengthy;15;17;16;16;9;20-25
202652;R. Sterling;80;80;0;29;Major;Arsenal;Attacker;RW;23,3;Right;13-07-22;20,5;120000;13;69;Unique;Explosive;2;2;5;3;13;20-25
236461;J. Mateta;79;80;1;27;Major;Crystal Palace;Attacker;ST;23,9;Right;31-01-22;20,5;90000;9;63;Stocky (185+);Controlled Lengthy;10;11;12;11;0;20-25
260908;M. Kerkez;78;84;6;20;Junior;AFC Bournemouth;Defender;LWB;21,9;Left;20-07-23;20,5;43000;11;70;Normal (170-185);Mostly Explosive;12;15;22;16;0;20-25
210047;F. Schär;82;82;0;32;Senior;Newcastle United;Defender;CB;23,8;Right;26-07-18;20;125000;11;73;Normal (185+);Controlled Lengthy;7;4;11;7;4;20-25
246923;J. Ramsey;78;82;4;23;Major;Aston Villa;Midfielder;CAM;22,2;Right;01-07-17;20;81000;10;72;Normal (170-185);Controlled Explosive;4;7;14;8;7;20-25
240740;C. Hudson-Odoi;78;82;4;23;Major;Nottingham Forest;Midfielder;CAM;22,9;Right;01-09-23;20;54000;12;68;Normal (170-185);Mostly Explosive;17;16;24;19;1;20-25
273463;João Gomes;78;83;5;23;Major;Wolverhampton Wanderers;Midfielder;CDM;23,9;Right;30-01-23;19,5;53000;12;72;Normal (170-185);Controlled;14;13;10;12;3;15-20
244067;M. Lacroix;77;84;7;24;Major;Crystal Palace;Defender;CB;24,4;Right;30-08-24;19,5;59000;11;63;Normal (185+);Controlled Lengthy;10;11;12;11;0;15-20
237942;P. Estupiñán;79;80;1;26;Major;Brighton & Hove Albion;Defender;LB;25,8;Left;16-08-22;19;85000;10;71;Normal (170-185);Controlled;11;6;9;9;0;15-20
229880;A. Wan-Bissaka;79;80;1;26;Major;West Ham United;Defender;RB;21,5;Right;13-08-24;19;85000;8;68;Unique;Controlled Lengthy;9;14;7;10;0;15-20
227174;M. Cash;79;80;1;26;Major;Aston Villa;Defender;RB;21,6;Right;03-09-20;19;100000;13;71;Normal (185+);Controlled Lengthy;4;7;14;8;7;15-20
240273;E. Smith Rowe;78;81;3;23;Major;Fulham;Midfielder;CAM;22;Right;02-08-24;19;67000;10;66;Normal (170-185);Controlled Explosive;13;10;21;15;0;15-20
